index,x_mm,y_mm,z_mm,roll_rad,pitch_rad,yaw_rad,roll_deg,pitch_deg,yaw_deg
1,338.932556,-191.992905,241.407333,3.123654,-0.618936,-0.451581,178.97219085915765,-35.46242058870912,-25.87368540829723
2,147.775101,-362.59552,234.758438,-3.119133,-0.602171,-1.316483,-178.71315663997902,-34.5018568451723,-75.42891970072115
3,-79.986961,-351.358948,220.592438,-2.934116,-0.552457,-2.044334,-168.11246340180705,-31.65345446245892,-117.13171011509765
4,-201.446045,-279.883148,187.703445,-2.88439,-0.45166,-2.460622,-165.26337346973952,-25.87821177487876,-140.98325557703964
5,442.702087,0.944183,61.14772,2.220411,-0.142608,0.12522,127.22017908442263,-8.170836524801645,7.174577510628168
6,301.658813,233.311279,-80.950577,2.532576,0.243754,0.851372,145.105916096124,13.966075439431869,48.78002239561192
7,435.516235,-174.972229,13.17895,2.480165,-0.003737,-0.325476,142.1029869960638,-0.21411432804038863,-18.648401132799982
8,117.369133,-446.141968,-52.743416,2.437298,0.156944,-1.471953,139.64688881567653,8.992228819901191,-84.33669454162006
9,-174.4496,-367.453827,63.000759,2.819657,-0.126183,-2.268321,161.55444577451917,-7.229753346299266,-129.9652198808944
10,-197.718018,-246.284912,226.346649,-2.815341,-0.567802,-2.541438,-161.3071571901407,-32.53265819908717,-145.6136712941689
11,-275.60434,-104.930763,190.89267,-2.808403,-0.459542,-3.031396,-160.90963907187896,-26.329817109000878,-173.6861968328397
12,78.840378,-450.256653,-37.159885,3.074936,0.143198,-1.544832,176.1808550728393,8.204641034714362,-88.51235365675399
1,267.625793,-443.372375,95.269188,-3.112478,0.006518,-3.141313,-178.33185322731944,0.3734538908662706,-179.98397702957917
2,-62.827503,-62.519138,0.147671,2.348392,-0.104565,-1.915442,134.5529502422864,-5.991133184785453,-109.74674250209743
3,-63.649406,-62.479397,-0.261273,2.734045,-0.076779,-1.191184,156.64923949884516,-4.399112655234948,-68.24981582351145
4,-61.921963,-61.811741,-0.83621,2.852956,-0.029928,-0.986903,163.46233793652527,-1.7147480892675278,-56.54537668879948
5,-62.562988,-61.93734,-1.802763,3.016074,-0.169527,-0.764564,172.80831089914025,-9.713181613514308,-43.80629036764027
